  COD;Artista;Título;OBS:;Gravadora;Formato;Condição;Valor Venda;gênero;ano;texto;tracklist;Imagens
85;Thaide & Dj HUM;Pergunte a quem conhece;;Eldorado;LP;VG+/VG+;80;Brazuca;1989;"Primeiro disco de um dos grupos mais importantes do RAP nacional! Em perfeito estado, nem parece disco de RAP com 25 anos de idade! Check ""Corpo fechado"" e ""Minha mina"".";"A1 Corpo fechado
A2 Consciência
A3 Minha mina
A4 (Claudio) eu tive um sonho
B1 Coisas do amor
B2 Falsidade
B3 Final dos tempos
B4 Pobrema";85.jpg
86;Ivan Lins;Agora...;;Forma;LP;VG+/VG+;70;Brasil;1971;"Disco de estreia do internacional Ivan Lins, pelo selo cult Forma. Check ""Hei você"" e ""Madalena"", clássico de todos os tempos!";"A1 Salve, salve
A2 Agora
A3 Emy
A4 Minha história
A5 A próxima atração
A6 Novamente nós
B1 Corpo-folha
B2 O amor é o meu país
B3 Madalena
B4 Baby blue
B5 Hei, você
B6 Tanauê - ou ""se um índio fosse consumido pela civilização moderna""";86.jpg
87;Pedrinho Mattar Trio;Pedrinho Mattar Trio n 3;;Farroupilha;LP;VG+/VG;150;Brasil;1965;"Ótimo disco de bossa jazz do pianista, raridade! Ouça ""Nanã""!";"A1 Neurótico
A2 Nanã 
A3 Zero hora
A4 Inútil paisagem
A5 Samba de verão
A6 Quem é homem não chora
B1 A morte de um Deus de sal
B2 Balansamba
B3 Você
B4 Preciso aprender a ser só
B5 Pinkt
B6 Balaiubá Xango";87.jpg
88;vários;Trilha Sonora da novela O Rebu;;Som Livre;LP;VG+/VG+;300;Brasil;1974;"Trilha Sonora assinada por Raul Seixas e Paulo Coelho, raridade total! Mosca branca! Check """;"A1 Como vovó já dizia
A2 Porque
A3 Planos de papel
A4 Catherine
A5 Murungando
A6 Rebu
B1 Um som pra Laio
B2 Se o rádio não toca
B3 Água viva
B4 Tema dançante
B5 Vida a prestação
B6 Senha";88.jpg
89;Luiz Gonzaga Jr.;Plano de vôo;;EMI;LP;VG+/VG+;35;Brasil;1975;Disco do ótimo Gonzaguinha, aqui acompanhado do grupo modo livre! ;"A1 O começo da festa
A2 Tá certo, doutor
A3 Gás neon
A4 Quebra pau
A5 Assim seja, amém
A6 Suor e serragem
B1 Mundo novo, vida nova
B2 Contos de fadas
B3 Catatonia integral
B4 Niel cabeça de bola
B5 Plano de vôo
B6 Geraldinos e arquibaldos";89.jpg
90;Jorge Mautner;Bomba de estrelas;;Warner;LP;VG+/VG+;60;Brasil;1981;"Disco onde Mautner convida grandes nomes da MPB como Caetano Veloso, Gilberto Gil, Moraes Moreira e Zé Ramalho, entre outros. Ouça ""Namoro de bicicleta"" com Pepeu Gomes.";"A1 A força secreta daquela alegria
A2 Namoro astral
A3 Cidadão - Cidadã
A4 Namoro de bicicleta
A5 Samba japones
B1 Encantador de serpentes
B2 Tá na cara
B3 Vida cotidiana
B4 Negros blues
B5 Bomba de estrelas";90.jpg
91;GOG;Dia a dia da periferia;;Só balanço;LP;EX/EX;250;Brasil;1994;"GOG é um dos grandes nomes do RAP nacional de todos os tempos e esse disco prova disco! LP em perfeito estado, impecável! Check ""Assassinos sociais"".";"A1 Dia a dia da periferia
A2 O exemplo taí
A3 É mesmo incrível
B1 Assassinos sociais
B2 Vai GOG!
B3 Brasília periferia";91.jpg
92;Voz do morro, A;Roda de samba;;Musidisc;LP;VG+/VG+;50;Brasil;;Roda de bamba! Imagine Paulinho da Viola, Zé Keti, Elton Medeiros, Amescarzinho do Salgueiro, Jair do Cavaquinho e Nelson Sargento no mesmo grupo? Imaginou? Agora é só botar essa maravilha pra rodar e descobrir como foi! Reissue da gravadora Sigla.;"A1 Peço licença
A2 Intriga
A3 Mascarada
A4 Coração vulgar
A5 Conversa de malandro
A6 Pecadora
A7 Vai saudade
B1 Recado
B2 Conselho
B3 Quem vem lá
B4 Linguajar do morro
B5 A canoa virou
B6 Papel reclame
B7 Olhos de Maria";92.jpg
93;Al Campbell;Fence to Fall;Canadá press;Live & Learn;LP;EX/EX;65;reggae;1987;Reggae! Disco dos anos 80 deste grande cantor jamaicano!;"A1 Fence Too Fall
A2 Spread Your Love Around
A3 Every Man Has a Right
A4 Easy Rocker
A5 Na Leave Jamaica
B1 Take it Easy
B2 Crazy, Crazy Nigger
B3 She Like It Like That
B4 Get Physical (New Wave)
B5 I Cry";93.jpg
94;Augustus Pablo;Dubbing With the Don;UK Press;Jamaican Recordings;LP;EX/EX;65;dub;2001;Compilação reúne músicas dos anos 70 de um dos mestres do dub, Augustus Pablo. As gravações contam com outros bambas como os baixistas Robbie Shakespeare e Family Man Barret, o guitarrista China, o baterista Carlton Barret, entre outros. Patuá recomenda!;"A1 Skank on Dub
A2 Way Out Rockers
A3 Pablo's Express
A4 Pablo's Happy Feeling
A5 Soldier Man Dub
A6 Well Frozen Dub
A7 Sweet Cassava Dub
B1 Talking Dub
B2 Pablo's Connection
B3 Skanking With
Pablo
B4 Pablo's Delight
B5 Death Trap Dub
B6 Rockers Downtown
B7 New Train Dub";94.jpg
95;Barrington Levy ;Place Too Dark;EUA Press / vinil branco!;Jah Life;LP;EX/EX;60;reggae;1997;"Reedição de um raro disco do ótimo Barrington Levy, lançado originalmente nos anos 80 como ""Doh Ray Me"".";"A1 This Place is Too Dark
A2 Call You on the Phone
A3 True I Own
A4 Roof Over My Head
A5 Walk 2000 Miles (extended mix)
B1 Sister Debbie 
B2 Doe Rae Me
B3 My One and Only Lover 
B4 Butterfly
B5 Pon You Toe";95.jpg
96;Barrington Levy ;Prison Oval Rock;Canadá press;Volcano ;LP;EX/EX;65;reggae;1991;"Reedição de um disco lançado originalmente em 1985, com faixas clássicas como ""Robber Man""!";"A1 Prison Oval Rock
A2 Prison Oval Dub
A3 You Say You Love Me
A4 Good Loving
A5 Rip and Run Off
B1 Please Jah Jah 
B2 Robber Man
B3 Hammer
B4 Stray Away Girl
B5 Mary Longue Tongue";96.jpg
97;Barrington Levy ;Robin Hood;UK press;Greensleves;LP;EX/EX;60;reggae;1980;Clássico! Um dos primeiros e melhores discos deste ícone jamaicano! Patuá recomenda!;"A1 Robbin Hood
A2 Rock and Come In
A3 Love Sister Carol
A4 Gonna Tell Your Girlfriend
A5 You Come To Ask Me What is Love
B1 Why Did You Leave Me
B2 Many Changes in Life
B3 Na Broke No Fight Over No Woman
B4 When Friday Come
B5 Like How You Kiss And Caress Me";97.jpg
98;Dennis Brown;Hold Tight;UK press;Live & Learn;LP;EX/EX;60;reggae;1986;Reconhecido como dono de uma das vozes mais marcantes do reggae, Dennis Brown aparece aqui acompanhado de outras feras como Al Campbell (backing vocals) e Robbie Shakespeare (baixo).;"A1 Hold Tight
A2 Indiscipline Woman
A3 Footstool
A4 Let Him Go
B1 When Spring is Around
B2 I've Got Your Number
B3 Worried Man
B4 Things in Life";98.jpg
99;Dennis Brown;Victory is Mine;Jamaica Press;Leggo;LP;VG+/VG+;70;reggae;1991;Disco de 1991, em que o reggae de Dennis Brown já dialoga com as batidas eletrônicas. Prensado na Jamaica!;"A1 Victory is Mine
A2 Call Me
A3 We Are in Love
A4 Don't Give Up
A5 Every Day People
B1 Sea of Love
B2 Sunday Morning
B3 Should I
B4 Jah Can Do It
B5 Sad News";99.jpg
100;Dub Syndicate;Mellow & Colly;Alemanha Press;EFA;LP;VG+/VG+;55;dub;1998;Disco do Dub Syndicate, mixado pelo mestre Scientist e com várias participações pesadas: Junior Reid, Ranking Joe, Big Youth...;"A1 Lion King
A2 Patient Man
A3 Mellow and Colly
B1 God is a Man
B2 Sound Clash
B3 Jah Rasta
B4 Country Man Talk";100.jpg
101;Freddie McGregor;Big Ship;UK press;Greensleves;LP;EX/EX;55;reggae;1982;"Considerado um dos melhores discos de Freddie McGregor, ""Big Ship"" é produzido por Linval Thompson e mixado por Scientist. Patuá recomenda!";"A1 Big Ship
A2 Sweet Lady
A3 Peaceful Man
A4 Stop Loving You
A5 Get Serious
B1 Don't Play the Foool
B2 Get United
B3 Let Me Be The One
B4 Roots Man Skanking
B5 Holy Mount Zion";101.jpg
102;Gregory Issacs;Night Nurse;Jamaica Press;Tad's;LP;EX/EX;60;reggae;2008;"Disco com gravações lançadas originalmente em 1982 e as até então inéditas ""Night Nurse Dub 2"" e ""Unhappy Departure Dub"".";"A1 Night Nurse
A2 Stranger in Town
A3 Objection Overruled
A4 Hot Stepper
A5 Cool Down the Pace
A6 Material Man
B1 Not the Way
B2 Sad to Know (You're Leaving)
B3 Cool Down the Dub
B4 Cool Down the Dub 2
B5 Cool Down the Pace (10""mix)
B6 Unhappy Departure Dub";102.jpg
103;Gregory Isaacs;Easy;Jamaica Press;Tad's;LP;VG+/VG+;65;reggae;1985;"Com a cara do reggae dos anos 80, ""Easy"" mostra o peculiar timbre vocal de Gregory Isaacs envolto em uma sonoridade característica da década (com bateria eletrônica e outros recursos dos sintetizadores).";"A1 Continent Woman
A2 Don't Say No
A3 Easy
A4 Tear Drops
A5 Won't Give You Up
B1 Tenement Yard
B2 Love is Overdue
B3 A, Miner (Am)
B4 Cool Ruler Come Again
B5 Cheer Up";103.jpg
104;John Holt;Why I Care;Jamaica Press;Tuff Gong;LP;EX/EX;60;reggae;2007;Relançamento de disco de 1989. Prensado na Jamaica!;"A1 Why I Care
A2 In My Life
A3 Oh Why
A4 I've Been Waiting
B1 Young Lovers
B2 Not To Be Blamed
B3 Don't Prepare For War
B4 Visions";104.jpg
105;Johnny Osbourne;Mr. Buddy Bye;;Miles Ahead in Reggae Music;LP;EX/EX;60;dancehall;1995;Pesado! A faixa-título é um dos clássicos de dancehall! Produção de King Jammy!;"A1 Water Pumping
A2 What a La La
A3 Chopper
A4 Budy Bye
A5 Can't Leave Us Alone
A6 Trench Town School
B1 Mr. Walker
B2 Rock and Come In
B3 Rock it Tonight
B4 Folly Ranking
B5 No Ice Cream Sound
B6 Fire";105.jpg
106;Johnny Osbourne;Cool Down;Canadá Press;VP;LP;EX/EX;60;reggae;1989;Johnny Osbourne em ação! Neste disco ele flerta com o som típico do reggae nos anos 80.;"A1 I Forgot To Say I Love You Till I'm Gone
A2 Cool Down
A3 What About Me
A4 Com A Little Bit Closer
A5 Baby I Love Your Way
B1 You Sexy Thing
B2 True Confession
B3 What' Love Got To Do With It
B4 Groovy Kind of Me
B5 I'm Missing You";106.jpg
107;King Tubby;Lost Treasures;UK press;Jamaican Recordings;LP;EX/EX;65;dub;2001;Coisa fina: coleção de dubs assinados pelo pai da matéria. As faixas eram inéditas até então.;"A1 Cherry's Dub
A2 Frenemy Dub
A3 Falling For Dub
A4 Dub On The Street Again
A5 Deceiving Dub
A6 Dub Confession
B1 Release The Dub
B2 A Youthmans Dub
B3 Blessed Dub
B4 Lets Do The Dub
B5 Jumpers Dub
B6 You Have Caught The Dub";107.jpg
108;Natural Vibes;Life Hard a Yard;;Star Light;LP;EX/EX;60;reggae;1982;Grande disco de reggae, com Prince Jammy na produção e mixagem e a dupla dinâmica Sly & Robbie na contenção. Deixa cair!;"A1 Natural Vibes
A2 Reggae Singer
A3 Children Crying
A4 Dread Locks Time
A5 Liberation Song
A6 Life Hard A Yard
B1 Food For Thought
B2 Blood And Hate
B3 Rasta Man
B4 Cry Love
B5 My Woman Is Gone
B6 True True Loving";108.jpg
109;Little John ;Give The Youth a Try;;Live & Learn;LP;EX/EX;60;reggae;1983;"""Give The Youth a Try"" é mais um disco de reggae para os novos admiradores do gênero descobrir! Little John canta belamente acompanhado da banda Roots Radical Band! ";"A1 Give The Youth A Try
A2 Why Won't You Come Home
A3 The More We Are Together
A4 Tea Tar Toe
B1 I Have Got To Go
B2 Let Go Me Hand
B3 Down a Yard
B4 I Love My Mommy";109.jpg
110;Michael Prophet ;Jah Love;;Live & Learn;LP;EX/EX;65;reggae;1983;"Michael Prophet inspiradíssimo canta alguns de seus clássicos como ""Back Off"", ""2000 Years"" e ""Tonight Tonight"".";"A1 Instruction
A2 It's Time
A3 Back Off
A4 2000 Years
B1 You Been Talking
B2 I Certify
B3 Tonight, Tonight
B4 Jah Love
B5 World of Confusion";110.jpg
111;Might Diamonds;Jam Session;Canadá Press;Live & Learn;LP;EX/EX;60;reggae;1991;"O trio vocal Might Diamonds lançou seu primeiro disco em 1976 mas atravessou as décadas seguintes na ativa e segue na estrada. ""Jam Session"" é um dos seus álbuns dos anos 90.";"A1 Jam Session
A2 Is This An Illusion
A3 Jah Jah Lord
A4 Black Skin Lady
A5 A Feather In A Richman's Hat
B1 Twelve Midnight
B2 Who Told You So
B3 Got To Let You Know
B4 A Lesson We Should Learn
B5 I Miss You";111.jpg
112;Noel Phillips;Youth Man Vibations;;Shajam Music;LP;EX/EX;60;reggae;1981;Excelente disco com o cantor Noel Phillips esbanjando no gogó. Sly e Robbie na cozinha.;"A1 Youth Man
A2 Pauline
A3 Looking Someone
A4 Living in the Ghetto
A5 Jah No Dead
B1 Money Man Skank
B2 Jungle Living
B3 Love Light
B4 Be My Woman
B5 Slavery Days";112.jpg
113;Peter Tosh;Bush Doctor;Holand Press;EMI / Rolling Stones Music;LP;VG+/VG+;65;reggae;1978;"Clássico! Além da faixa-título (hino máximo pela legalização da erva), traz as participações de Mick Jagger e Keith Richards em ""(You Gotta Walk) Don't Look Back"".";"A1 (You Gotta Walk) Don't Look Back
A2 Pick Myself Up
A3 I'm The Toughest
A4 Soon Come
A5 ""Moses"" - The Prophet
B1 Bush Doctor
B2 Stand Firm
B3 Dem Ha Fe Get A Reatin
B4 Creation";113.jpg
114;Revolutionaries;Revolutionaries;;Channel One;LP;VG+/VG+;55;reggae;;"Discaço de reggae instrumental da banda que conta com músicos como Tommy McCook no sax tenor, Sly Dunbar na bateria e Robbie Shakespeare no baixo. A faixa ""Angola"" traz sopros que fazem referência à melodia de ""Norwegian Wood"" (Beatles). Patuá recomenda! ";"A1 M.P.L.A.
A2 Earthquake
A3 Why War
A4 Leftist
A5 Sudden Attack
B1 Angola
B2 P.L.A.
B3 I Need A Roof
B4 A.N.C.
B5 Right In Ah It";114.jpg
115;Scientist & Mad Professor;Scientist Meets The Crazy Mad Professor;UK Press;Jamaican Recordings;LP;EX/EX;60;dub;2011;"Duelo de gigantes! Scientist e Mad Professor produzem dubs a partir de hits jamaicanos como ""You Are My Angel"" (Horace Andy) e ""Big Ship"" (Freddie McGregor). Fino!";"A1 Everlove Dub
A2 Earths Rightful Ruller
A3 Can't Keep Love Down
A4 Solve It Dub
A5 Rush Dem Dub
A6 Enjoyment Dub
A7 Goodtime
A8 Come in Dub
B1 Real Dancehall Dub
B2 Cutting Edge Dub
B3 Wondering Drifter Dub
B4 Sailors Dub
B5 Wise Dancehall Dub
B6 Send Them Dub
B7 Leggo Badness
B8 Groovin Dub";115.jpg
116;Scientist ;Scientist at the Controls of Dub - Rare Dubs 1979 - 1980;UK Press;Jamaican Recordings;LP;EX/EX;60;dub;2008;Para ouvir e voar no transe jamaicano: compilação de dubs de um especialista no assunto, o produtor Scientist, para faixas conhecidas nas vozes de Triston Palma, Dennis Brown, entre outros. ;"A1 Mr Babylon Dub
A2 Never Trouble Dub
A3 Light And Dub
A4 Time And Place For Dub
A5 Wah Dah Dub
A6 The Greatest Dub
A7 Mr Landlord
B1 Stop Spreading Dub
B2 Bad Boy Dub
B3 Bad Posse Dub
B4 Undying Dub
B5 Joker Dub
B6 Eveready Dub
B7 Heavenless Dub";116.jpg
117;Tapper Zukie;MPLA;EUA press;Virgin ;LP;VG/VG;60;reggae;2001;Relançamento de disco de 1978, considerado um dos melhores do jamaicano Tapper Zukie.;"A1 Pick Up the Rockers
A2 M.P.L.A
A3 Don't Get Crazy
A4 Go De Natty
A5 Stop the Gun Shooting
B1 Ital Pot
B2 Marcus
B3 Chalice To Chalice
B4 Don't Deal With Babylon
B5 Freedom";117.jpg
118;Triston Palma;Joker Lover;Canadá Press;Jet Star;LP;EX/EX;55;reggae;2011;"Lançado originalmente em 1982, ""Joker Lover"" é um dos grandes discos do jamaicano Triston Palma.";"A1 Rub-A-Dub Session
A2 She Only Love Me For My Money
A3 Joker Lover
A4 Woman Go Home
A5 The More We Are Together
B1 All My Tears Keep Falling
B2 Face Struggle
B3 Crazy Woman
B4 Jail House
B5 Your Friends";118.jpg
119;Triston Palma;Joker Smoker;UK Press;Greensleeves;LP;EX/EX;60;reggae;1982;A faixa-título é mais uma canção jamaicana de exaltação ao consumo da erva e todo o álbum bate em cheio no peito, nos ouvidos e na mente. Patuá recomenda!;"A1 Innocent Man
A2 Babylon
A3 Give Me Give Me Your Love
A4 Lonely Man
A5 Got To Praise Jah Jah
B1 Joker Smoker
B2 Babylon
B3 Give Me Give Me Your Love
B4 Lonely Man
B5 Got To Praise Jah Jah";119.jpg
120;Wailing Souls;Inchpinchers;UK Press;Greensleeves;LP;EX/EX;60;reggae;1983;"Grande disco de uma grande banda jamaicana: ""Inchpinchers"" é um item básico para uma rigorosa coleção de reggae!";"A1 Inchpinchers
A2 Mass Charley Ground
A3 Tom Sprang
A4 Don't Get Lost
A5 Baby Come Rock
B1 Things And Time
B2 Modern Slavery
B3 Ghetto of Kingston Town
B4 Oh What A Lie
B5 Infidels";120.jpg
121;Wayne Jarret;Chipin;UK Press;Greensleeves;LP;EX/EX;60;reggae;1982;"Wayne Jarret é um dos cantores jamaicanos influenciados por Horace Andy (uma referência vocal na ilha) e, embora se pareça realmente muito tanto no timbre como no estilo, tem uma personalidade musical forte. ""Chipin"" é um de seus melhores discos.";"A1 Love In Mi Heart
A2 Skank And Come In
A3 True Love
A4 Ranny And Lou
A5 Got To Be Sure
B1 Chip In
B2 Jah Jah I
B3 Why Must Babylon
B4 Saturday Night Jamboree
B5 Money Problems";121.jpg
122;Wayne Jarret;What's Wrong With The Youths;EUA Press;Jah Life;LP;EX/EX;65;reggae;;"Parece Horace Andy, mas não é: Wayne Jarret é fortemente influenciado pelo outro cantor jamaicano e também deixou sua marca na história do reggae. Neste álbum, consta grandes gravações como ""Rockers"" (riddim de ""Feel Like Jumping"", de Marcia Griffiths)! Patuá recomenda!";"A1 Saturday Night Jamboree
A2 My Baby is Gone
A3 In The Ghetto
A4 Rockers
A5 Thanks And Praise
B1 What's Wrong With The Youths
B2 Choice Of My Own
B3 Be Sure Of Your Brethren
B4 Dreadlocks Postman
B5 Live Up";122.jpg
123;Alvin Ranglin;Roots Man Dub;EUA press;GG's;2 LP;EX/EX;80;dub;2007;Reedição de um álbum de dubs do produtor Alvin Ranglin lançado em 1978 a partir de faixas de artistas como Maytones, Starlights e Al Brown. O disco 2 traz faixas inéditas até então.;"A1 Black Star Dub
A2 Roots Man Dub
A3 Runway Dub
A4 Iron Gate
A5 Rockers Dub
A6 Dub On The Track
A7 Macabak Rock
B1 Ital Collie
B2 Herb Man Skank
B3 Heartical Dub
B4 Let Dub Abide
B5 Loving Dub
B6 Over Africa
B7 Dub Again Rasta
B8 Mad Dub
C1 Let Me Dub
C2 Midnight Dub
C3 Don't Worry Dub
C4 Rock My Dub
C5 Get Your Dubbing
C6 Tell Me The Dub
C7 See Me Dub
D1 No Yo Yo Dub
D2 You Want a Dub
D3 A Warning Dub
D4 Run Come Dub
D5 Each Day Dub
D6 Soulful Dub
D7 Stand By Dub";123.jpg
124;Tony Allen & Africa 70;Progress;reissue;Kindred Spirits;LP;MINT;90;afrobeat;2011 (1977);"Com produção de Fela Kuti, ""Progress"" é mais um disco inspirado do baterista Tony Allen da fase anos 70. A faixa-título é um afrobeat clássico, que mostra a versatilidade do músico que inventou os padrões ritmícos do gênero.";"A1 Progress
B1 Afro-Disco-Beat";124.jpg
125;Tony Allen & Africa 70;Jealousy;reissue;Kindred Spirits;LP;MINT;90;afrobeat;2011 (1975);Primeiro disco solo do co-fundador do afrobeat (Tony Allen), tem produção assinada pelo principal artista do gênero (seu parceiro Fela Kuti). Patuá recomenda esta joia do melhor groove nigeriano!;"A1 Jealousy
B1 Hustler";125.jpg
126;Tony Allen & Africa 70;No Discrimination;reissue;Kindred Spirits;LP;MINT;90;afrobeat;2011 (1979);"Item básico para qualquer coleção de afrobeat, ""No Discrimination"" reúne quatro faixas com Tony Allen em plena forma. Além do baterista, outro músico lendário da banda Africa 70 participa da gravação: o saxofonista Lekan Animashaun.";"A1 No Discrimination
A2 Road Safety
B1 Ariya
B2 Love Is A Natural Thing";126.jpg
127;Fela Anikulapo Kuti;Teacher Don't Teach Me Nonsense;;Knitting Factory;LP;MINT;90;afrobeat;1986 (2014);"Lançado em 1986, este disco traz Fela em sua fase ""Anikulapo"" e com um som diferente em relação ao dos anos 70. Ainda é afrobeat, claro, mas com arranjos e melodias menos ferozes e a banda modificada (na bateria, por exemplo, Atiba Tiamiyu e Ijagun Benjy Ola ocupam o lugar que era de Tony Allen. Grande disco!";"A1 Teacher Don't Teach Me Nonsense
B1 Look and Laught";127.jpg
128;Fela Ransome Kuti and Africa 70;Confusion;;Knitting Factory;LP;MINT;90;afrobeat;1974 (2014);"""Confusion"" é um dos muitos discos lançados por Fela nos anos 70 e, embora não esteja entre os mais clássicos, merece sua atenção! É um disco de uma faixa só, algo comum na discografia do nigeriano, com a mesma música dividida em duas partes nos lados A e B do LP.";"A1 Confusion (parte 1)
A2 Confusion (parte 2)";128.jpg
129;Fela Ransome Kuti and Africa 70;Expensive Shit;;Knitting Factory;LP;MINT;90;afrobeat;1975 (2014);"Escolher um só disco entre os mais de 70 lançados por Fela Kuti é impossível. ""Expensive Shit"", no entanto, poderia tranquilamente estar em um top 5. Além de toda a fúria em forma de groove da faixa-título, o lado B nos presenteia com uma de suas grandes composições: o afro-jazz-soul ""Water No Get Enemy"". Discoteca básica!";"A1 Expensive Shit
B1 Water No Get Enemy";129.jpg
130;Fela Ransome Kuti e Ginger Baker;Live;prensagem original dos EUA!;Celluloid / EMI;LP;EX/VG;200;afrobeat;1971;Wow! Relíquia! Cópia original (EUA, 1971) em bom estado do disco que registra um dos encontros mais memoráveis da história da música: Fela Kuti (inventor do afrobeat) e Ginger Baker (um dos maiores bateristas da história do rock). Coisa linda!;"A1 Let's Start
A2 Black Man's Cry
B1 Ye Ye De Smell
B2 Egbe Mi O";130.jpg
131;William Onyeabor;Good Name;reedição;Luaka Bop;"12""";EX/EX;90;afro-funk;1983 (2014);Reedição de um single 12 polegadas do nigeriano William Onyeabor, que desde os anos 70 fazia experimentos com sintetizadores que deixaram roqueiros moderninhos boquiabertos recentemente. Não se deixe enganar pela capa: a arte sugere aquelas típicas marcas deixadas pelo tempo, mas o disco é novíssimo! Patuá recomenda!;"A1 Let's Fall In Love
B1 Good Name";131.jpg
132;Orchestre Poly-Rythmo de Cotonou;Cotonou Club;Alemanha press;Strut;2 LP;MINT;80;afro-funk;2011;"Primeiro disco da lendária Orchestre Poly-Rythmo de Cotonou (banda de Benin que fez história e lançou algumas dezenas de discos nos anos 70) após a redescoberta de sua música na Europa e nos EUA nos anos 2000. Esse álbum duplo traz a regravação de alguns de seus clássicos (como ""Ne Te Fâche Pas"") e uma faixa com a participação de Paul Thompson e Nick McCarthy, do Franz Ferdinand (""Lion is Burning""). ";"A1 Ne Te Fâche Pas
A2 Holonon
A3 Von Vo Nono
B1 Gbeti Madjro (com Angélique Kidjo)
B2 Ocè
B3 Koumi Dédé
C1 Pardon
C2 C'est Lui Ou C'est Moi (com Fatoumata Diawara)
C3 Ma Vie
D1 Lion Is Burning
D2 Tegbé";132.jpg
133;Ebo Taylor;Appia Kwa Bridge;EUA press / cópia autografada!;Strut;2 LP;EX/EX;150;afro-funk;2012;Último disco do sensacional Ebo Taylor, lenda viva de Gana que fez história nos anos 70 com excelentes discos que misturavam highlife, afro-funk e afrobeat. Este álbum é igualmente poderoso, com grandes composições e participações dos nigerianos Tony Allen (bateria), Pax Nicholas (maracas) e Oghene Kologbo (baixo e guitarra) --  os três ex-integrantes da banda de Fela Kuti. A rapaziada das bandas de groove alemão como Whitefield Brothes e Poets of Rhythm engrossam o caldo do som! Detalhe: essa cópia é autografada por Ebo Taylor! Patuá recomenda!;"A1 Ayesama
A2 Nsu Na Kwan
B1 Abonsam
B2 Yaa Amponsah
C1 Assomdwee
C2 Kruman Dey
D1 Appia Kwa Bridge
D2 Barrima";133.jpg
134;Orchestre Poly-Rythmo de Cotonou;Orchestre Poly-Rythmo de Cotonou;;Goma-Gringa;LP;MINT;90;afro-funk;2014;"Compilação nota 10 do selo Goma-Gringa (Brasil!) com oito faixas da Orchestre Poly-Rythmo de Cotonou (Benin). ""Iya Me Dji Ki Bi"" é um afro-funk para fazer estrago em qualquer boa pista de dança! Pra melhorar, as capas foram impressas no capricho em serigrafia! Coisa fina! ";"A1 Mede Ma Gnin Messe
A2 Iya Me Dji Ki Bi Ni
A3 Assibabi
A4 Sê Tchê Wê Djô Mon
A5 Zizi
B1 Djanfa Magni
B2 Adjro Mi
B3 Ecoute Ma Mélodie";134.jpg
135;Orchestre Poly-Rythmo de Cotonou;;original / Nigéria;Albarika Store;LP;G-/VG+;800;afro-funk;1983;"Coisa finíssima para colecionadores de música africana: cópia nigeriana original e autografada por três integrantes da entidade beninense Orchestre Poly-Rythmo de Cotonou, que já começa com uma pedrada afro-funk -- ""Gebti Madjro"" (cantada com gritos ""a la James Brown"")! Raridade pesadíssima!";"A1 Gbeti Madjro
A2 Koutche Kposo
A3 Les Djos
A4 Media
A5 Minsatole Mi Dayi Homin
A6 Djoyimavo
B1 Mi Kpon Bodo
B2 Gbemi Na Gbe
B3 Zizi
B4 Wodeka Roe
B5 Avoun Doupoume Douapa
B6 Angelina (2)";135.jpg
136;Orchestre Poly-Rythmo de Cotonou;Special Festac 77;original / Nigéria;Albarika Store;LP;VG+/VG+;150;afro-funk;1977;Cópia nigeriana original de disco lançado pela Orchestre Poly-Rhytmo de Cotonou, que celebra o Festac 77 (evento musical histórico, que aconteceu em Lagos, no ano de 1977). Quente!;"A1 Special Festac 77
A2 Special Festac 77";136.jpg
137;Afro Super-Feelings Led By Segun Okeji;I Like Woman;reedição / França press;Soul Patrol Records;LP;NM/NM;90;afrobeat;;Afrobeat pesado, no estilo de Fela Kuti, com beat acelerado e somente uma faixa de longa duração de cada lado do disco. Patuá recomenda!;"A1 I Like Woman
B1 Afro Super-Feelings In Disco";137.jpg
138;Freedom Family;Ayentsoo;reedição / EUA press;Academy LPs / Voodoo Funk;LP;NM/NM;90;afro-funk;1974 (2014);Ótimo disco de afro-funk lançado em parceria pelos selos Academy LPs e Voodoo Funk, especializados em redescobrir joias esquecidas da música africana. Inclui encarte de oito páginas com fotos e a história da banda (em inglês).;"A1 Lala L  I (Happy Song)
A2 Life
A3 Holy Worshipping
A4 Good Times
B1 Ayentsoo
B2 Love Affair
B3 Yensuro (No Fears)
B4 Lover's Garden
B5 The Last Thing";138.jpg
139;Seun Kuti;A Long Way To The Beginning;EUA press;Knitting Factory;LP;MINT;90;afrobeat;2014;Lançado em 2014, Seun Kuti traz o afrobeat do pai (Fela Kuti) para o presente com músicas mais curtas mas a mesma intensidade. A banda que o acompanha é a Egypt 80, a última banda de Fela.;"A1 IMF
A2 African Airway
A3 Higher Consciousness
A4 Ohum Aye
B1 Kalakuta Boy
B2 African Smoke
B3 Black Woman";139.jpg
140;Tlahoun Gèssèssè;Ethiopian Urban Modern Music Vol. 4 ;França press;L'arôme;LP;NM/NM;90;ethio-jazz;;Mais um volume da incrível série que compila joias da música etíope dos anos 60 e 70. Mulatu Astatke é arranjador de 5 faixas neste álbum do cantor Tlahoun Gèssèssè. Patuá recomenda!;"A1 Alègntayé
A2 Kulun Mankalèsh (70)
A3 Aykèdashem Iebé
A4 Bèyèt Nèw Mèngèdu
A5 Ené Nègn Wèy Antchi
B1 Yèné Felagoté
B2 Tezalègn Yètentu
B3 Tchuhetén Betsèmu
B4 Lantchi Biyé
B5 Kulun Mankalèsh (73)";140.jpg
