  COD;Artista;Título;OBS:;Gravadora;Formato;Condição;Valor Venda;gênero;ano;texto;tracklist;Imagens
50;Martinho da Vila;Maravilha de Cenário;;RCA;Gatefold;VG+/VG+;40;Brasil;1975;"Discoteca básica! Martinho da Vila no auge! ""Andando de banda"", do gaitista e maestro Rildo Hora com Sérgio Cabral, é pra ouvir todo dia! E ""Lá na roça(mes de Maria)"" é um dos melhores afrosambas já feitos!";"A1 Aquarela brasileira
A2 Você não passa de uma mulher
A3 Tempo de menino
A4 Andando de banda 
A5 Lá na roça (mes de Maria)
A6 Maré mansa
B1 Salve a mulatada brasileira
B2 Verdade verdadeira
B3 Cresci no morro
B4 Hino dos batutas de São José
B5 Se algum dia
B6 Glorias gaúchas";50.jpg
51;Metá Metá;Metal Metal;;Goma Gringa;especial;MINT;85;Brasil;2012;"Um dos melhores discos feitos nos últimos anos no Brasil! Intenso e autoral, a complexidade do disco envolve raízes africanas e heavy metal, jazz e funk, sob a guarda de uma MPB moderna e renovada! ouça o disco inteiro! : ""Oyá""é apenas uma! e vale uma olhada no projeto gráfico, com desenhos de Kiko Dinucci e assinado por Fred Thipagne!";"A1 Exú
A2 Oya
A3 São Jorge
A4 Man feriman
A5 Tristeza não
B1 Rainha das cabeças
B2 Cobra rasteira
B3 Logun
B4 Orunmila";51.jpg
52;Miécio Askanazy/ José Prates;Tam...Tam...Tam...!;;Trunk;LP;MINT;90;Brasil;2014;"Um dos reissues mais esperados, ""Tam tam tam"" é menos conhecido pelo seu compositor do que pelo seu arranjador, José Prates, um dos grandes mestres do som afrobrazuca! Check ""Nanã Imboro"" e tire suas próprias conclusões: Jorge Ben copiou a faixa ou não em seu clássico ""Mas que nada""?";"A1 Imbarabaô
A2 Imbaê - Sofá
A3 Nãnã Imborô
A4 Fá-êu-á
A5 Oniká
A6 Ogum olojô
B1 Maracatu da D. Santa
B2 De Luanda-ô
B3 Maracatu elegante
B4 Nêga Zefinha
B5 Tem brabo no samba";52.jpg
53;Mocidade Independente de Padre Miguel;Bateria nota 10;;Tapecar;LP;VG+/VG;30;Brasil;1972;"Um dos melhores discos de batucada, aula pra qualquer bateria do mundo! Check ""Ouriço"".";"A1 Ouriço
A2 Sincopado
A3 Segura as cadeiras
B1 É isto aí!
B2 Samba no pé
B3 Deixa comigo";53.jpg
54;Moraes Moreira;Alto Falante;;Som Livre;LP;VG/VG+;45;Brasil;;;"A1 Fruta mulher
A2 Crioula
A3 Mulher
A4 Espírito esportivo
A5 De tarde na liberdade
A6 Alto falante
B1 Pedaço de canção
B2 Revoada
B3 Prosando com Maria
B4 Ana caiana
B5 Choro feliz
B6 Mentira";54.jpg
55;Mutantes, Os;Mutantes e seus cometas no país do baurets;;Polydor;Gatefold;MINT;100;Brasil;1972;"Discoteca básica! Quinto e último disco da banda com a formação original, aqui acrescida do então baixista Liminha, que iria mudar a sonoridade da música feita no Brasil nos anos 80. Ouça ""Dune Buggy"" e ""Cantor de Mambo"".";"A1 Posso perder minha mulher, minha mãe, desde que eu tenha o meu rock and roll
A2 Vida de cachorro
A3 Dune buggy
A4 Cantor de mambo
A5 Beijo exagerado
A6 Todo mundo pastou
B1 Balada do louco
B2 A hora e a vez do cabelo nascer
B3 Rua augusta
B4 Mutantes e seus cometas no país do baurets
B5 Todo mundo pastou II";55.jpg
56;Mutantes, Os;Jardim Elétrico;;Polydor;LP;MINT;100;Brasil;1971;"Quarto disco da banda paulistana, cada vez mais louca! check ""Top Top"" e a versão do cássico ""Baby"", de Caetano Veloso.";"A1 Top top
A2 Benvinda
A3 Tecnicolor
A4 El justiciero
A5 It's very nice pra xuxu
A6 Portugal de navio
B1 Virginia
B2 Jardim elétrico
B3 Lady, lady
B4 Saravá
B5 Baby";56.jpg
57;Mutreteiros Grilados;Coisas Nossas;;Girasom;LP;VG/VG;40;Brasil;1972;"Disco gravado no começo dos anos 70, por artistas que tinham contratos com outras gravadoras. Daí a ficha técnica com nomes como PZ, QM, Polenguinho e Xuxu Beleza. Ótimo disco, com versões de clássicos como ""Esperanças perdidas"", ""Cosa nostra"" e ""Tm a JB"", homenagem do Trio Mocotó a Jorge Ben.";"A1 Cosa nostra
A2 Galileu da Galiléia
A3 TM a JB
A4 Esperanças perdidas
A5 Nó na cana
B1 Alô fevereiro
B2 Águas de março
B3 Partido Alto
B4 Batuque na cozinha
B5 Quando o carnaval chegar
B6 Encabulada";57.jpg
58;Nazaré Pereira;Amazonia;;Top Tape;LP;VG/VG+;80;Brazuca;1980;"Aqui o afrobrazuca chega na Amazônia...Ouça hits absolutos do afrobrasil como ""Riacho do navio"" e a pedrada ""Flecha de fogo"". ";;58.jpg
59;Noriel Vilela;"Eis o ""Ôme""";;Copacabana/ Brasilis grooves;LP;MINT;90;Brazuca;1971;"Pedra máxima do cancioneiro afrobrazuca! Noriel, intérprete da ""16 toneladas"" (uma das músicas brasileiras mais tocadas nas pistas do mundo todo), traz um disco todo dedicado a umbanda, com músicas do quilate de ""Acocha malungo"" e ""Pra Iemanjá levar"". Em tempo: nesse reissue da Brasilis Grooves com a Somatória do Barulho, as toneladas vem de brinde!";"A1 Promessado
A2 Saravando Xangô
A3 Só o Ome
A4 Meu caboclo não deixa
A5 Pra Iemanjá levar
A6 Samba das águas
A7 16 toneladas
B1 Eu tá vendo no copo
B2 Acredito sim
B3 Peço licença
B4 Cacunde, cacunda
B5 Acocha malungo
B6 Saudosa Bahia";59.jpg
